,count
France,74
Allemagne,55
Ukraine,30
Russie,20
Royaume-Uni,20
Arménie,16
Israël,14
Chine,12
Espagne,10
Pays-Bas,10
Sénégal,9
Niger,9
Inde,9
Japon,8
Azerbaïdjan,8
Jordanie,8
Turquie,8
États-Unis,7
Irlande,6
Mali,6
Moldavie,6
Dominique,6
Italie,6
Australie,6
Luxembourg,5
Estonie,5
Belgique,5
Suède,5
Kenya,5
Finlande,5
Pologne,5
Canada,5
Lituanie,4
Chypre,4
Madagascar,4
Autriche,4
Nouvelle-Zélande,4
Bulgarie,4
Angola,4
Rwanda,4
Andorre,4
Serbie,4
Singapour,4
Slovénie,4
Tchad,4
Iran,4
Afrique du Sud,4
Guinée,4
Ghana,4
Liban,3
Côte d'Ivoire,3
Monaco,3
Burkina Faso,3
Mauritanie,3
Norvège,3
Tadjikistan,3
Danemark,3
Géorgie,3
Libye,3
République démocratique du Congo,3
Soudan,3
Comores,3
Colombie,3
Kazakhstan,3
Portugal,3
Qatar,3
Albanie,3
Bénin,3
Arabie Saoudite,3
Indonésie,3
Guinée-Bissau,3
République centrafricaine,2
Argentine,2
Ouzbékistan,2
Roumanie,2
Hongrie,2
Bahreïn,2
Croatie,2
Suisse,2
Macédoine,2
Libéria,2
Lettonie,2
République tchèque,2
Bangladesh,2
Syrie,1
République du Congo,1
Tanzanie,1
Slovaquie,1
Thaïlande,1
Tunisie,1
Algérie,1
Haïti,1
Nigeria,1
Djibouti,1
Malte,1
Brésil,1
Islande,1
Guatemala,1
Grèce,1
Koweït,1
Gabon,1
Maurice,1
Philippines,1
Mexique,1
Mozambique,1
Cambodge,1
Égypte,1
Pakistan,1
Pérou,1
Chili,1
